Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	13873	-	0	0	0	0	0	0	6	48	0	0	0	0	0	0	0	0	0	0	119	105	0	0	1	5	0	0
fsh-generated/resources/CodeSystem-medication-type.json	763	5	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	17	1972	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3050	5	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	1	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3050	4	0	0	0	0	0	0	0	4483	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-with-atc.json	938	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	4	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	28	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	0	0	0	0	14	0	0	6	296	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	1
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	4	1	0	0	0	4	0	0	5	11	0	0	0	0	0	0	0	0	0	16	9	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	3	0	0	0	0	3	0	0	5	9	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	3	0	0	0	0	2	0	1	4	9	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	710	4	0	0	0	0	0	9	0	28	0	0	0	0	0	0	0	0	0	0	47	429	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ANY.json	904	3	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	43	173	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BELMMedProduct.json	3571	4	0	0	0	0	0	25	0	10	0	0	0	0	0	0	0	0	0	0	91	342	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	9468	6	0	0	0	0	0	145	0	77	0	0	1	0	0	0	0	3	0	0	427	1226	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-BL.json	709	3	0	0	0	0	0	20	0	7	0	0	0	0	0	0	0	0	0	0	36	133	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CD.json	677	4	0	0	0	0	0	18	0	6	0	0	0	0	0	0	0	0	0	0	35	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	652	3	0	0	0	0	0	19	0	6	0	0	0	0	0	0	0	0	0	0	40	121	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DT.json	574	4	1	0	0	0	0	18	0	6	0	0	0	0	0	0	0	0	0	0	39	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DispenseRequestNeededCategory.json	1291	3	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	1	0	0	54	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DosageOverride.json	1204	4	0	0	0	0	0	21	0	7	0	0	0	0	0	0	0	0	0	0	48	96	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-DosageOverrideReason.json	1270	4	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	49	119	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EN.json	715	3	0	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	39	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ExposureCategory.json	1404	6	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	71	85	0	0	0	2	0	0
