"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelMedicationLine","BeModelMedicationLine","","","",0,*,"","","","null {[]} {[]}
","Medication Line (model)","Logical data model for medication line.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationLine.uniqueIdentifier","BeModelMedicationLine.uniqueIdentifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier","A unique identifier for the medication line. This identifier alone may be the same for different versions of the medication line.","","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.uniqueIdentifier",1,*,"",""
"BeModelMedicationLine.versionIdentifier","BeModelMedicationLine.versionIdentifier","","","",0,1,"","","","string {[]} {[]}
","Version of the medication line at the time the content was recorded or last updated.","Version of the medication line at the time the content was recorded or last updated.","","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.versionIdentifier",0,1,"",""
"BeModelMedicationLine.lastUpdatedDate","BeModelMedicationLine.lastUpdatedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Timestamp the medication line content was recorded or last updated.","Timestamp the medication line content was recorded or last updated."," We consider this is redundant with the above, given the intended use in Belgium (version is a date). How to ensure the compatibility?","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.lastUpdatedDate",1,1,"",""
"BeModelMedicationLine.status","BeModelMedicationLine.status","","","",1,1,"","","","code {[]} {[]}
","Status of the line entry","Status of the line entry","","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.status",1,1,"",""
"BeModelMedicationLine.statusReason","BeModelMedicationLine.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason for the status","Reason for the status"," We consider this is not necessary - should we add?","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.statusReason",0,1,"",""
"BeModelMedicationLine.assertedDate","BeModelMedicationLine.assertedDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date the medication line was first asserted or known","Date the medication line was first asserted or known"," We consider this is not necessary","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.assertedDate",0,1,"",""
"BeModelMedicationLine.recorder","BeModelMedicationLine.recorder","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Recorder","Recorder","We understand this will be updated as the line changes","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.recorder",1,1,"",""
"BeModelMedicationLine.patient","BeModelMedicationLine.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Patient","Patient","","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.patient",1,1,"",""
"BeModelMedicationLine.category","BeModelMedicationLine.category","","","",0,*,"","","","BackboneElement {[]} {[]}
","Category for the line","Category for the line","","","","","","","","","",,,,,"",,,,"BeModelMedicationLine.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
