Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	14269	-	0	0	0	0	0	0	6	55	0	0	0	0	0	0	0	1	0	0	149	109	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-medication-line-origin-type.json	643	4	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	1885	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medication-type.json	763	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	67	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3050	3	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3050	3	0	0	0	0	0	0	0	2966	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	4	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2650	4	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	1
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	27	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	0	0	0	0	15	0	0	4	307	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	4	0	0	0	0	4	0	0	5	9	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	3	0	0	0	0	4	0	1	4	9	0	0	0	0	0	0	0	0	0	11	5	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	3	0	0	0	0	3	0	0	5	8	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	3	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	710	3	0	0	0	0	0	9	0	28	0	0	0	0	0	0	0	0	0	0	36	440	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ANY.json	904	4	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	33	194	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BELMMedProduct.json	3597	4	0	0	0	0	0	20	0	11	0	0	0	0	0	0	0	0	0	0	80	318	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	9468	4	0	0	0	0	0	145	0	72	0	0	0	0	0	0	0	3	0	0	405	1004	0	1	0	16	0	1
fsh-generated/resources/StructureDefinition-BL.json	709	4	0	0	0	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0	32	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CD.json	677	3	1	0	0	0	0	14	0	9	0	0	0	0	0	0	0	0	0	0	32	77	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Class.json	652	3	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	38	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DT.json	574	4	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	32	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DispenseRequestNeededCategory.json	1291	3	0	0	0	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	53	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DosageOverride.json	1204	3	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	1	0	0	63	66	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-DosageOverrideReason.json	1270	4	1	0	0	0	0	16	0	8	0	0	0	0	0	0	0	0	0	0	57	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EN.json	715	3	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	45	53	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ExposureCategory.json	1404	4	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	0	0	51	68	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-II.json	801	3	0	0	0	0	0	18	0	6	0	0	1	0	0	0	0	0	0	0	43	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-INT.json	782	3	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	43	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KMEHRMS.json	171613	28	0	0	0	0	0	353	0	312	0	0	1	0	0	0	0	8	0	0	3550	2525	0	0	0	53	1	4
fsh-generated/resources/StructureDefinition-PQ.json	876	3	1	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	34	50	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-REAL.json	839	4	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	33	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RTO.json	686	3	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	1	0	0	34	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ST.json	587	3	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	31	65	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-TS.json	706	3	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	31	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Untyped.json	702	3	1	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	31	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-VisibilityFlag.json	1193	4	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	47	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-medicationdispense.json	7409	4	0	0	0	0	0	75	0	43	0	0	0	0	0	0	0	1	0	0	628	950	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-be-model-medicationdispense.json	8829	4	0	0	0	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	167	207	0	1	0	2	0	1
fsh-generated/resources/StructureDefinition-be-model-medicationline.json	13947	4	0	0	0	0	0	30	0	20	0	0	0	0	0	0	0	1	0	0	286	298	0	0	0	5	0	0
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	1085	4	0	1	0	0	0	0	1	64	0	0	0	0	0	0	0	0	0	0	13	2509	0	0	0	1	0	0
fsh-generated/resources/ValueSet-medication-exposure-category-vs.json	1060	3	1	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	11	112	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-line-origin-type-vs.json	607	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-type-vs.json	507	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	67	0	0	1	0	0	0
